NUMERACION,FECHA,HORA,DIA,GESTION,MES,PROVINCIA,MUNICIPIO,BARRIO,AVENIDA_O_CALLE,LUGAR_ESPECIFICO_DEL_HECHO,COORDENADAS,TIPO_DE_HECHO,TIPO_DE_AUTOPARTES_O_ACCESORIOS_ROBADOS,TIPO_DEL_VEHICULO,MARCA_DEL_VEHICULO,SEXO_DE_LA_VICTIMA,EDAD_DE_LA_VICTIMA,NACIONALIDAD_DE_LA_VICTIMA,SEXO_DEL_AUTOR_O_SINDICADO,EDAD_DEL_AUTOR_O_SINDICADO,NACIONALIDAD_DEL_AUTOR_O_SINDICADO,SITUACION_JURICA_DEL_AUTOR_ARRESTADO_O_APREHENDIDO,AREA_URBANO_O_RURAL,OBSERVACIONES,LAT,LON,ERROR_GPS
2,2022-01-02,140000,MARTES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO JUNIN,CALLE INNOMINADO,ALTURA 6TO DISTRITO NAVAL,"-11.016353, -68.752053",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,31.0,BOLIVIANO,MASCULINO,32.0,BOLIVIANO,SIN DATO,URBANO,NINGUNO,-11.016353,-68.752053,
3,2022-01-01,160000,MIERCOLES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO PETTY RAY,CALLE SIN NOMBRE,ALTURA MERCADO PETTY RAY,"-11.033975, -68.764373",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,25.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.033975,-68.764373,
4,2022-01-05,230000,JUEVES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO 11 DE OCTUBRE,AVENIDA 9 DE FEBRERO,ALTURA HOTEL VICTORIA,"-11.03684, -68.769946",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,21.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.03684,-68.769946,
5,2022-01-06,210000,VIERNES,2022,ENE,NICOLAS SUAREZ,COBIJA,SIN DATO,AVENIDA LAS PALMAS,ALTURA FRENTE DEL CRISTO,"-11.032159, -68.7619787",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,24.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.032159,-68.7619787,
6,2022-01-10,210000,SABADO,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO SENAC,AVENIDA 9 DE FEBRERO,ALTURA PARQUE PINA INGRESO A COSSMIL,"-11.032159, -68.7619787",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,FEMENINO,23.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.032159,-68.7619787,
7,2022-01-06,170000,MARTES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO ANTOFAGASTA,CALLE SIN NOMBRE,ALTURA INGRESO AL GARAJE DE LA ALCALDIA,"-11.04625, -68.777395",RECEPTACION DE VEHICULO,SIN DATO,AUTOMOVIL,HYUNDAI,SIN DATO,,SIN DATO,MASCULINO,29.0,BOLIVIANO,SIN DATO,URBANO,NINGUNO,-11.04625,-68.777395,
8,2022-01-15,000000,LUNES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO LA CRUZ,CALLE SIN NOMBRE,NN,"-11.019809, -68.765778",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,TOYOTA,SIN DATO,,SIN DATO,MASCULINO,27.0,BOLIVIANO,SIN DATO,URBANO,NINGUNO,-11.019809,-68.765778,
9,2022-01-16,000000,MARTES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO NAZARIA,CALLE SIN NOMBRE,ALTURA PLAZA NAZARIA,"-11.036348, -68.773408",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,YAMAHA,MASCULINO,24.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.036348,-68.773408,
10,2022-01-25,010000,MIERCOLES,2022,ENE,NICOLAS SUAREZ,COBIJA,SIN DATO,AVENIDA 9 DE FEBRERO,ALTURA FERIA DE LAS ALASITAS,"-11.09596, -68.763595",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,HONDA,FEMENINO,25.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.09596,-68.763595,
11,2022-01-23,230000,JUEVES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO 11 DE OCTUBRE,AVENIDA 9 DE FEBRERO,NN,"-11.03684, -68.769946",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,PEGASUS,FEMENINO,22.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.03684,-68.769946,
12,2022-01-27,060000,VIERNES,2022,ENE,NICOLAS SUAREZ,COBIJA,BARRIO PARAISO,CALLE JOSE DA COSTA,NN,"-11.026427, -68.77451",ROBO DE MOTOCICLETA,SIN DATO,MOTOCICLETA,KYNGO,MASCULINO,24.0,BOLIVIANO,SIN DATO,,SIN DATO,SIN DATO,URBANO,NINGUNO,-11.026427,-68.77451,
